t,y
"0,60","-0,59"
"0,63","-0,58"
"0,67","-0,56"
"0,70","-0,54"
"0,73","-0,50"
"0,77","-0,26"
"0,80","0,36"
"0,83","1,24"
"0,87","2,10"
"0,90","2,70"
"0,93","2,93"
"0,97","2,90"
"1,00","2,57"
"1,03","1,91"
"1,07","1,05"
"1,10","0,25"
"1,13","-0,22"
"1,17","-0,25"
"1,20","0,19"
"1,23","0,93"
"1,27","1,74"
"1,30","2,37"
"1,33","2,62"
"1,37","2,52"
"1,40","2,09"
"1,43","1,35"
"1,47","0,53"
"1,50","-0,10"
"1,57","-0,37"
"1,60","-0,18"
"1,63","0,38"
"1,67","1,12"
"1,70","1,80"
"1,73","2,26"
"1,77","2,34"
"1,80","2,05"
"1,83","1,44"
"1,87","0,68"
"1,90","0,00"
"1,93","-0,38"
"1,97","-0,35"
"2,00","0,08"
"2,03","0,77"
"2,07","1,51"
"2,10","2,09"
"2,13","2,33"
"2,17","2,19"
"2,20","1,69"
"2,23","1,00"
"2,27","0,30"
"2,30","-0,20"
"2,33","-0,34"
"2,37","-0,10"
"2,40","0,45"
"2,43","1,13"
"2,47","1,70"
"2,50","1,98"
"2,53","1,92"
"2,57","1,53"
"2,60","0,90"
"2,63","0,23"
"2,67","-0,28"
"2,70","-0,46"
"2,73","-0,27"
"2,77","0,24"
"2,80","0,89"
"2,83","1,48"
"2,87","1,85"
"2,90","1,87"
"2,93","1,57"
"2,97","0,99"
"3,00","0,33"
"3,03","-0,22"
"3,07","-0,47"
"3,10","-0,36"
"3,13","0,05"
"3,17","0,65"
"3,20","1,23"
"3,23","1,62"
"3,27","1,72"
"3,30","1,49"
"3,33","1,01"
"3,37","0,42"
"3,40","-0,09"
"3,43","-0,35"
"3,47","-0,29"
"3,50","0,07"
"3,53","0,62"
"3,57","1,19"
"3,60","1,58"
"3,63","1,70"
"3,67","1,53"
"3,70","1,09"
"3,73","0,52"
"3,77","0,00"
"3,80","-0,29"
"3,83","-0,29"
"3,87","0,01"
"3,90","0,54"
"3,93","1,09"
"3,97","1,51"
"4,00","1,67"
"4,03","1,56"
"4,07","1,19"
"4,10","0,69"
"4,13","0,22"
"4,17","-0,09"
"4,20","-0,13"
"4,23","0,11"
"4,27","0,54"
"4,30","1,05"
"4,33","1,47"
"4,37","1,66"
"4,40","1,58"
"4,43","1,24"
"4,47","0,76"
"4,50","0,30"
"4,53","0,01"
"4,57","-0,05"
"4,60","0,15"
"4,63","0,54"
"4,67","1,00"
"4,70","1,37"
"4,73","1,54"
"4,77","1,46"
"4,80","1,14"
"4,83","0,69"
"4,87","0,21"
"4,90","-0,13"
"4,93","-0,21"
"4,97","-0,05"
"5,00","0,31"
"5,03","0,75"
"5,07","1,11"
"5,10","1,31"
"5,13","1,27"
"5,17","1,01"
"5,20","0,63"
"5,23","0,21"
"5,27","-0,08"
"5,30","-0,19"
"5,33","-0,05"
"5,37","0,28"
"5,40","0,68"
"5,43","1,04"
"5,47","1,24"
"5,50","1,21"
"5,53","0,98"
"5,57","0,60"
"5,60","0,22"
"5,63","-0,04"
"5,67","-0,13"
"5,70","0,00"
"5,73","0,30"
"5,77","0,67"
